GENDER,Average Score
1,2.4375
1,1.1875
0,1.75
0,2.3125
0,3.4375
0,3.125
0,2.89
0,2.9375
1,3.375
0,3.4375
0,2.25
0,3.4375
0,3.3125
0,3.5625
0,2.9375
1,3.0625
1,3.125
0,3.25
1,3.25
0,3
0,2
1,2.9375
0,2.25
0,2.5
1,3.5625
0,2.9375
0,2.5
0,2.4375
0,2.4375
0,3
1,3.0625
1,2.8125
0,3.3125
1,3.375
0,2.875
0,3.4375
0,3.3125
0,2.9375
0,3.25
1,3.1875
1,3.5
1,3.25
0,2.375
0,3.5
1,3.0625
0,3.375
1,2.9375
0,2.625
0,3.3125
0,2.5
0,3.25
0,2.1875
1,2.8125
1,2.4375
0,3.3125
0,3.375
0,3.875
0,2.8125
0,2.0625
1,3.125
0,3.6875
0,3
0,2.6875
1,3.1875
0,2.875
0,2.75
0,2.4375
0,2.8125
1,3.1875
0,2.875
1,3.375
0,3.1875
0,3.3125
0,2.4375
1,2.99
1,2.99
1,2.375
0,4
0,3.125
0,2.5
0,3.375
0,3.5
1,3.25
