Code,Title,Content,Age,Gender,Grade,Brothers,Sisters,Group,Score_CM
259,,"Freedom is about having no one manage us
We’re the one to set our goal
Do what we want to do to achieve our wishes
Being happy and travel the world like a free bird
Learn to let go of ourselves and take something new
	Go advanture to any mountain want to go
	Being like fish could swim anywhere and do whatever by itself
	We have to set our own goal, never let anyone set it for us.
	Don’t live under someone pressure and decision
	Don’t follow other but do whatever with our own ability
	We have to be persistence and overcome obstacles for our freedom
	Be ready for the truth and prepare ourselves for a fresh new start with freedom 
	Don’t live in the past, need to walk forward thinking of present not the past. ",,,,,,,
268,Freedom,"I learn how to read a book
I am happy when I finish my school
I am happy when I have freedom
I can see the beautiful view
I hold my friend’s hand and I am happy
I play with my friends
I cut some pictures
I saw the view in the water
I saw fish swimming and jumping around",17,m,9,2,1,c,2.625
295,Freedom,"The freedom life that has no one control
We are the one who set the goal for ourselves
Do whatever we wanted to do and achieve our goals
Make yourself happy and travel around the world like the bird
Free yourself and learn something new
You can do an adventure
Make yourself like a fish, you will do and you can do it
Set the goal for your life, and do not let other set it for you
Do not live with the pressure from the other, find the freedom for yourself
Do not follow other people, do what you want to do and do what you can do
You need to against all the obstacles for the freedom
Be prepared and accept the truth and start the new life with the freedom
Do not live with the past, keep going and come backward, think about present not the past.
 ",,,,,,,
314,,"Rose freshly bloom
	Beautiful
	Perfect
	Rely on talking
	Rely on violation
	Rely prison
	Rely on sibling.
	Look to the forest 
	Every landscape
	Seems like couple 
	Like you and me
	Stay an enjoy for a while 
	We’re like stars
	Just two of us.
	All birds 
	Fly and chirping 
	In the forest
	They happy wander around
	No fear of anyone 
	Go where freely
	Like sibling.",16,m,10,0,1,c,1.375
438,Successful in the future,"Learn to be polite and don’t be rude
Don’t use the bad words
Everyone should encourage ourself
In the late afternoon, there are birds fly near the clouds
The sky is getting dark and the ocean is getting deeper.",14,f,8,1,1,c,1.25
691,A dream and Trust,"I always have a dream in the future
I know that my dreams are changing depend on the time
But when I see something that I wanted I will always try to get it
I will try to get it even I am still weak and I don’t have enough time to study
But in my mind, I want it forever
I don’t ask for something else but my big dream come true one day
I will try all my best.",14,f,9,0,4,c,2.75
746,Freedom,"Freedom is one thing that everyone in this world want it, especially the adults
When you become an adult, you need a lot of things
People always want to do what they want to without someone stopping them
Choosing someone that you love, go for a walk and have a business
Freedom is very fresh and happiness of some people that have it just like a fish that swim in the water happily and no one stopping them
 
A dark world and bored with the same thing never to get to know the happy world because of the pressure from the family, cannot do what we want to. So, the loneliness are around and getting bored just like the bird in the cage that can’t fly away, can’t be together with the other, can’t do what we want to do like before. Only can wait until the door open and back to be with family.
Sometime we have freedom but we can’t do what we want to
Sometime if we do it, it can affect to other people and the family as well
So, please choose the freedom that make you happy with mentally and physically.
Please think before doing anything and you will get what you want.",21,f,uni,0,0,c,3.5
832,Freedom,"Every one of us has right to do our duty that we need to do.
	Sometime, we can’t use freedom as we want since some will also distract
	Too much freedom will result both of pro and con 
	Freedom will make us happy and do something with our satisfaction	
	Freedom give us creativity 
	Sometime, with too much freedom, we’ll may do thing without realizing that we did not well 
Without having freedom, we won’t feel ourselves because the pressure stuck us from what we want to do
Without having freedom, our mind will be stressful and we can’t do what someone asked us to do since we don’t want to do it, too
If we want to have freedom, we must tell ourselves about what we should do and what we shouldn’t do. We use freedom in the right way.",17,f,10,2,1,c,3.375
1244,We are students,"As a student, we must study hard
We have to learn about the people around us and to make our studying easy
All the students need to pay attention to study and do homework
Everyone needs the education for their better job
We are students so we have to study hard and become a good person for our country
So, all the students need to study hard to achieve our goals in the future
We have to try for our families and help ourself and help the country as well
Study hard is good for us so we must do
Even if there are obstacles and difficult, we must try until the end
Studying need to go forward and we will need to finish it by ourself.",15,f,9,1,1,c,
1300,An adventure,"Everyone wants to have an adventure everywhere
Adventure can create the best freedom for everyone
Adventure at somewhere far and beautiful can help you release some stress
There is fresh cold air make you feel fresh, your sadness will go away with the wind
In the forest has the green trees and other plants with different colors and they are beautiful
On the heel of the mountain there is fog that cover the view from the bottom and make us feel cold and fresh.
You can swim in the pond that has a very clear cold water and you also can catch the fish there to cook
We can have a special time like that with family, friends and we are all really happy",15,f,10,1,0,b,3.125
