Age,Average Score
17,2.4375
16,1.1875
14,1.75
14,2.3125
21,3.4375
17,3.125
15,2.9375
14,3.375
25,3.4375
15,2.25
18,3.4375
16,3.3125
17,3.5625
17,2.9375
17,3.0625
12,3.125
15,3.25
13,3.25
18,3
14,2
18,2.9375
16,2.25
16,2.5
15,3.5625
15,2.9375
14,2.5
15,2.4375
14,2.4375
18,3
15,3.0625
18,2.8125
18,3.3125
17,3.375
16,2.875
12,3.4375
24,3.3125
14,2.9375
18,3.25
17,3.1875
15,3.5
13,3.25
16,2.375
24,3.5
18,3.0625
15,3.375
17,2.9375
15,2.625
16,3.3125
17,2.5
16,3.25
13,2.1875
14,2.8125
18,2.4375
16,3.3125
18,3.375
18,3.875
15,2.8125
16,2.0625
18,3.125
14,3.6875
16,3
15,2.6875
17,3.1875
15,2.875
16,2.75
16,2.4375
15,2.8125
15,3.1875
17,2.875
19,3.375
16,3.1875
15,3.3125
20,2.4375
13,2.375
16,4
16,3.125
17,2.5
17,3.375
17,3.5
15,3.25
