,new_code,Code,Code_lower,Count_lower,Title,Title_lower,Year_of_workshop,quarter,Org,Country,Big_Idea,age,gender,Repeat,Notes,content,Content1,Content2,RIGHT
1,1,4161,4161,2,Love. Peace Lily,love. peace lily,2021,,WINGS,Singapore,Taking Risks,,F,1,older woman,"how are you doing this morning 
my love? 
would you like to go sunbathing 
with me? 
some water to start off with 
perhaps? 
would a glass or two do you good? 
drip drop here you go 
i know mummy doesn’t always know. 
but my best intent is to 
help you grow.","how are you doing this morning 
my love? 
would you like to go sunbathing 
with me? 
some water to start off with 
perhaps? 
would a glass or two do you good? 
drip drop here you go 
i know mummy doesn’t always know. 
but my best intent is to 
help you grow.","how are you doing this morning 
my love? 
would you like to go sunbathing 
with me? 
some water to start off with 
perhaps? 
would a glass or two do you good? 
drip drop here you go 
i know mummy doesn’t always know. 
but my best intent is to 
help you grow.",1
2,2,4161,4161,2,Relating Power,relating power,2017,1,VSA,Singapore,Power,0,M,1,young adult in Singapore with developmental or physical disability,"eight fish 
relating power 
glad 
mobility 
knowledge gives some power 
different power 
surfer swim in the ocean 
i was glad 
i am relaxing when i am sitting on the chair 
ocean has power to splash 
ko has power to carry heavy things 
mother has power to mop the floor and make the chocolate mud cake 
father has power to do exercise 
brother has power to do meridian junior college work 
person has power to walk 
ko has power to carry light things 
mother has power to pick the leaves 
father has power to run in marina way playground 
brother has the power to read newspaper.","eight fish 
relating power 
glad 
mobility 
knowledge gives some power 
different power 
surfer swim in the ocean 
i was glad 
i am relaxing when i am sitting on the chair 
ocean has power to splash 
ko has power to carry heavy things 
mother has power to mop the floor and make the chocolate mud cake 
father has power to do exercise 
brother has power to do meridian junior college work 
person has power to walk 
ko has power to carry light things 
mother has power to pick the leaves 
father has power to run in marina way playground 
brother has the power to read newspaper.","eight fish 
relating power 
glad 
mobility 
knowledge gives some power 
different power 
surfer swim in the ocean 
i was glad 
i am relaxing when i am sitting on the chair 
ocean has power to splash 
ko has power to carry heavy things 
mother has power to mop the floor and make the chocolate mud cake 
father has power to do exercise 
brother has power to do meridian junior college work 
person has power to walk 
ko has power to carry light things 
mother has power to pick the leaves 
father has power to run in marina way playground 
brother has the power to read newspaper.",1
3,3,7614,7614,2,Star Wars,star wars,2017,1,VSA,Singapore,Power,17,M,1,young adult in Singapore with developmental or physical disability,"star wars is a science fiction movie 
carried by the levee 
two light sabers make me epic. 
scared being lonely at home 
watching the light and dark sides 
clone troopers sighting for the jedi to rise. 
storm troopers are black storm sighters 
the light sabers are imaginary weapons 
used for real life children’s toys.","star wars is a science fiction movie 
carried by the levee 
two light sabers make me epic. 
scared being lonely at home 
watching the light and dark sides 
clone troopers sighting for the jedi to rise. 
storm troopers are black storm sighters 
the light sabers are imaginary weapons 
used for real life children’s toys.","star wars is a science fiction movie 
carried by the levee 
two light sabers make me epic. 
scared being lonely at home 
watching the light and dark sides 
clone troopers sighting for the jedi to rise. 
storm troopers are black storm sighters 
the light sabers are imaginary weapons 
used for real life children’s toys.",1
4,4,7614,7614,2,My Study,my study,2020,,Ponheary Ly Foundation,Cambodia,change,19,F,1,rural student completing school in a dorm in Siem Reap,"i study in siem reap 
it's good for me. 
because i have a lot of teachers to teach me 
and a lot of extra classes for study. 
i have a lot of friends to help me study. 
they are very happy to help me to study. 
when i come back from school, 
i usually do homework, 
read books, 
cook food, 
exercise, 
listen to music 
and then i sleep. 
in my free time i clean my room and i like comedy. 
everyday i'm so happy.","i study in siem reap 
it's good for me. 
because i have a lot of teachers to teach me 
and a lot of extra classes for study. 
i have a lot of friends to help me study. 
they are very happy to help me to study. 
when i come back from school, 
i usually do homework, 
read books, 
cook food, 
exercise, 
listen to music 
and then i sleep. 
in my free time i clean my room and i like comedy. 
everyday i'm so happy.","i study in siem reap 
it's good for me. 
because i have a lot of teachers to teach me 
and a lot of extra classes for study. 
i have a lot of friends to help me study. 
they are very happy to help me to study. 
when i come back from school, 
i usually do homework, 
read books, 
cook food, 
exercise, 
listen to music 
and then i sleep. 
in my free time i clean my room and i like comedy. 
everyday i'm so happy.",1
5,5,7203,7203,1,Zebras and Unicorns,zebras and unicorns,2017,1,VSA,Singapore,Power,17,M,1,young adult in Singapore with developmental or physical disability,"stripes 
stripes give zebras power 
stripes identify zebras, black and white 
so zebra isn’t mistaken for a horse. 
unique zebra stands backwards 
to prevent predators from hunting 
they hide in trees in an african savannah. 
unicorns 
they are corns in rainbow colors 
horses in rainbow colors are also called unicorns. 
space unicorn in the milky way. 
horns came from narwhale. 
tongue tastes like skittles. 
candy looks like m&ms, tastes sweet and sour. 
hungry for skittles and goldfish crackers. 
it’s so fluffy like sheep’s wool.","stripes 
stripes give zebras power 
stripes identify zebras, black and white 
so zebra isn’t mistaken for a horse. 
unique zebra stands backwards 
to prevent predators from hunting 
they hide in trees in an african savannah. 
unicorns 
they are corns in rainbow colors 
horses in rainbow colors are also called unicorns. 
space unicorn in the milky way. 
horns came from narwhale. 
tongue tastes like skittles. 
candy looks like m&ms, tastes sweet and sour. 
hungry for skittles and goldfish crackers. 
it’s so fluffy like sheep’s wool.","stripes 
stripes give zebras power 
stripes identify zebras, black and white 
so zebra isn’t mistaken for a horse. 
unique zebra stands backwards 
to prevent predators from hunting 
they hide in trees in an african savannah. 
unicorns 
they are corns in rainbow colors 
horses in rainbow colors are also called unicorns. 
space unicorn in the milky way. 
horns came from narwhale. 
tongue tastes like skittles. 
candy looks like m&ms, tastes sweet and sour. 
hungry for skittles and goldfish crackers. 
it’s so fluffy like sheep’s wool.",1
6,6,5554,5554,1,Boy Flying Xbox,boy flying xbox,2017,1,VSA,Singapore,Power,17,M,1,young adult in Singapore with developmental or physical disability,"boy flying xbox, 
cardboard xbox 
to the sun 
but gravity pulls him back 
boy on xbox to tokyo 
disappointed for a plane without passengers 
when i drop from the sky, it falls 
from the sky and crashes 
needs wings and jet power 
to look like an airplane 
cardboard boxes don’t come from airports 
they can be anywhere in your backyard.","boy flying xbox, 
cardboard xbox 
to the sun 
but gravity pulls him back 
boy on xbox to tokyo 
disappointed for a plane without passengers 
when i drop from the sky, it falls 
from the sky and crashes 
needs wings and jet power 
to look like an airplane 
cardboard boxes don’t come from airports 
they can be anywhere in your backyard.","boy flying xbox, 
cardboard xbox 
to the sun 
but gravity pulls him back 
boy on xbox to tokyo 
disappointed for a plane without passengers 
when i drop from the sky, it falls 
from the sky and crashes 
needs wings and jet power 
to look like an airplane 
cardboard boxes don’t come from airports 
they can be anywhere in your backyard.",1
7,7,9048,9048,1,Cleavers,cleavers,2017,1,VSA,Singapore,Power,17,M,1,young adult in Singapore with developmental or physical disability,"cleavers are butcher knives 
used for chopping meat parts into cubes 
it is stainless steel weapon 
for chopping fruits 
like fruit ninja 
it is a tool to chip barks of wood 
and make into plants 
used to buy homes 
it can destroy bombs in a radiology lab 
in a nuke plant.","cleavers are butcher knives 
used for chopping meat parts into cubes 
it is stainless steel weapon 
for chopping fruits 
like fruit ninja 
it is a tool to chip barks of wood 
and make into plants 
used to buy homes 
it can destroy bombs in a radiology lab 
in a nuke plant.","cleavers are butcher knives 
used for chopping meat parts into cubes 
it is stainless steel weapon 
for chopping fruits 
like fruit ninja 
it is a tool to chip barks of wood 
and make into plants 
used to buy homes 
it can destroy bombs in a radiology lab 
in a nuke plant.",1
8,8,4913,4913,1,Power of Cards,power of cards,2017,1,VSA,Singapore,Power,0,M,1,young adult in Singapore with developmental or physical disability,"the school of fish is following blue leader. 
they love swimming in deep blue sea. 
there are strong waves along the sea 
where surfers pass through their areas. 
one of the surfers has drowned in the sea 
and we have to send him to hospital. 
it is an old-man patient. 
he needs a wheelchair to go out after operations. 
he turned around and looked 
where the birds are on the wires. 
they are relaxing, chatting together. 
the birds fly in the sky freely. 
they reach to the top of the school building 
where the group of students are with teacher. 
the location is somewhere in india or china. 
where chinese students and teacher are. 
student want to learn. 
knowledge give them some power.","the school of fish is following blue leader. 
they love swimming in deep blue sea. 
there are strong waves along the sea 
where surfers pass through their areas. 
one of the surfers has drowned in the sea 
and we have to send him to hospital. 
it is an old-man patient. 
he needs a wheelchair to go out after operations. 
he turned around and looked 
where the birds are on the wires. 
they are relaxing, chatting together. 
the birds fly in the sky freely. 
they reach to the top of the school building 
where the group of students are with teacher. 
the location is somewhere in india or china. 
where chinese students and teacher are. 
student want to learn. 
knowledge give them some power.","the school of fish is following blue leader. 
they love swimming in deep blue sea. 
there are strong waves along the sea 
where surfers pass through their areas. 
one of the surfers has drowned in the sea 
and we have to send him to hospital. 
it is an old-man patient. 
he needs a wheelchair to go out after operations. 
he turned around and looked 
where the birds are on the wires. 
they are relaxing, chatting together. 
the birds fly in the sky freely. 
they reach to the top of the school building 
where the group of students are with teacher. 
the location is somewhere in india or china. 
where chinese students and teacher are. 
student want to learn. 
knowledge give them some power.",1
9,9,4244,4244,1,I Want To Be A Teacher,i want to be a teacher,2017,1,VSA,Singapore,Power,0,,1,young adult in Singapore with developmental or physical disability,"i everyday listen to radio 
my father stress day because of work, while i control my anger 
sometimes i’m so interrupt say sorry with a clue, 
can i say sorry? 
i want magic towel, 
rabbit -> rabbit come ok 
he like noisy rabbit. yes? 
i don’t like to sleep, you like to sleep at night 
something i’m not just a little young, but my mind somewhere 
but i know i’m my late father and mother.","i everyday listen to radio 
my father stress day because of work, while i control my anger 
sometimes i’m so interrupt say sorry with a clue, 
can i say sorry? 
i want magic towel, 
rabbit -> rabbit come ok 
he like noisy rabbit. yes? 
i don’t like to sleep, you like to sleep at night 
something i’m not just a little young, but my mind somewhere 
but i know i’m my late father and mother.","i everyday listen to radio 
my father stress day because of work, while i control my anger 
sometimes i’m so interrupt say sorry with a clue, 
can i say sorry? 
i want magic towel, 
rabbit -> rabbit come ok 
he like noisy rabbit. yes? 
i don’t like to sleep, you like to sleep at night 
something i’m not just a little young, but my mind somewhere 
but i know i’m my late father and mother.",1
10,10,8469,8469,1,Tanjong Pagar Plaza,tanjong pagar plaza,2017,1,VSA,Singapore,Power,0,,1,young adult in Singapore with developmental or physical disability,"thomas, james, percy and gordon 
megastore 
we can be patient! 
pink heart and white cylinder 
mobot 
rest on beanbag","thomas, james, percy and gordon 
megastore 
we can be patient! 
pink heart and white cylinder 
mobot 
rest on beanbag","thomas, james, percy and gordon 
megastore 
we can be patient! 
pink heart and white cylinder 
mobot 
rest on beanbag",1
